Text,DS_emotion
1,neutral
2,neutral
3,neutral
4,neutral
5,neutral
6,neutral
7,neutral
8,neutral
9,neutral
10,neutral
11,fear
12,joy
13,surprised
14,joy
1,neutral
2,anger
3,surprised
4,fear
5,neutral
6,neutral
7,neutral
1,neutral
2,anger
3,neutral
4,neutral
5,surprised
6,neutral
7,fear
8,neutral
9,neutral
10,neutral
11,joy
12,neutral
13,disgust
1,surprised
2,fear
3,fear
4,neutral
5,neutral
6,neutral
7,disgust
8,sadness
9,neutral
1,joy
2,neutral
3,surprised
4,neutral
5,neutral
6,neutral
7,neutral
8,neutral
9,joy
10,joy
11,joy
12,sadness
13,neutral
14,neutral
15,neutral
1,neutral
2,neutral
3,neutral
4,joy
1,joy
2,joy
3,joy
4,neutral
5,neutral
6,neutral
7,joy
8,neutral
9,surprised
10,anger
11,anger
12,anger
13,anger
14,neutral
15,fear
16,sadness
17,sadness
18,neutral
19,neutral
20,neutral
21,neutral
22,neutral
1,neutral
2,surprised
1,sadness
2,fear
3,neutral
4,neutral
5,joy
6,neutral
7,joy
1,neutral
2,neutral
3,neutral
4,joy
5,neutral
6,neutral
7,neutral
8,neutral
9,joy
10,joy
11,neutral
12,joy
13,surprised
14,neutral
1,surprised
2,anger
3,disgust
4,surprised
5,anger
6,neutral
1,neutral
2,neutral
3,neutral
4,joy
5,neutral
6,neutral
7,neutral
8,neutral
9,joy
10,joy
1,neutral
2,joy
3,neutral
4,surprised
5,neutral
6,neutral
7,fear
8,fear
9,fear
10,disgust
11,neutral
12,anger
1,joy
2,neutral
3,surprised
4,neutral
1,neutral
2,neutral
3,fear
4,surprised
5,neutral
6,fear
1,anger
2,neutral
3,joy
4,sadness
5,surprised
6,sadness
7,anger
8,sadness
9,neutral
10,sadness
11,fear
12,fear
13,joy
14,neutral
15,neutral
16,joy
17,fear
18,fear
19,anger
20,neutral
21,neutral
22,joy
23,joy
1,joy
2,disgust
3,disgust
4,neutral
5,neutral
6,joy
1,anger
2,joy
3,neutral
4,neutral
5,fear
6,neutral
7,fear
8,neutral
9,joy
10,neutral
